,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,label
1481,0.48,0.5,0.5,0.49,0.45,0.29,0.79,0.22,0.2,0.23,0.18,0.19,0.19,0.2,0.19,0.18,0.22,0.22,0.21,0
1482,0.47,0.5,0.5,0.49,0.45,0.29,0.79,0.37,0.19,0.23,0.18,0.19,0.19,0.2,0.19,0.18,0.23,0.22,0.23,0
1483,0.48,0.5,0.5,0.49,0.46,0.29,0.79,0.37,0.2,0.23,0.18,0.18,0.19,0.2,0.19,0.18,0.22,0.21,0.22,0
1484,0.48,0.5,0.5,0.49,0.48,0.29,0.79,0.23,0.27,0.23,0.18,0.18,0.19,0.19,0.19,0.18,0.22,0.21,0.21,0
1485,0.48,0.5,0.5,0.49,0.47,0.29,0.79,0.26,0.2,0.23,0.18,0.19,0.19,0.2,0.19,0.18,0.22,0.22,0.22,0
1486,0.48,0.5,0.5,0.49,0.47,0.29,0.79,0.24,0.21,0.23,0.18,0.18,0.19,0.19,0.19,0.18,0.22,0.21,0.21,0
1487,0.48,0.5,0.5,0.49,0.46,0.29,0.79,0.22,0.2,0.23,0.18,0.18,0.19,0.19,0.19,0.18,0.23,0.21,0.21,0
1488,0.47,0.5,0.5,0.49,0.45,0.29,0.79,0.3,0.2,0.23,0.18,0.18,0.19,0.19,0.19,0.18,0.22,0.21,0.21,0
1489,0.48,0.5,0.5,0.49,0.45,0.29,0.79,0.28,0.2,0.23,0.18,0.19,0.19,0.2,0.19,0.18,0.23,0.22,0.22,0
1490,0.48,0.5,0.5,0.49,0.45,0.29,0.79,0.33,0.2,0.23,0.18,0.18,0.19,0.19,0.19,0.18,0.22,0.21,0.21,0
1491,0.48,0.5,0.5,0.49,0.45,0.29,0.79,0.3,0.2,0.23,0.18,0.19,0.19,0.2,0.19,0.18,0.22,0.22,0.21,0
1492,0.48,0.5,0.5,0.49,0.45,0.29,0.79,0.22,0.2,0.23,0.18,0.19,0.19,0.2,0.19,0.18,0.22,0.22,0.22,0
1493,0.47,0.5,0.5,0.49,0.45,0.29,0.78,0.28,0.2,0.23,0.19,0.19,0.19,0.2,0.19,0.19,0.23,0.22,0.22,0
1494,0.48,0.5,0.5,0.49,0.45,0.29,0.78,0.27,0.2,0.23,0.19,0.19,0.19,0.2,0.19,0.19,0.23,0.22,0.22,0
1495,0.48,0.5,0.5,0.49,0.46,0.29,0.78,0.25,0.22,0.23,0.19,0.19,0.19,0.2,0.19,0.19,0.23,0.22,0.22,0
1496,0.48,0.5,0.5,0.49,0.47,0.29,0.78,0.25,0.2,0.23,0.19,0.19,0.19,0.2,0.19,0.19,0.22,0.22,0.22,0
1497,0.48,0.5,0.5,0.49,0.47,0.29,0.78,0.32,0.21,0.23,0.19,0.2,0.2,0.2,0.2,0.19,0.23,0.22,0.22,0
1498,0.48,0.5,0.5,0.49,0.45,0.29,0.78,0.3,0.21,0.23,0.2,0.2,0.2,0.21,0.2,0.2,0.23,0.23,0.23,0
1499,0.48,0.5,0.5,0.49,0.45,0.29,0.78,0.29,0.2,0.23,0.2,0.2,0.2,0.21,0.2,0.2,0.23,0.23,0.23,0
1500,0.47,0.5,0.5,0.49,0.45,0.29,0.77,0.27,0.26,0.23,0.2,0.2,0.2,0.21,0.2,0.2,0.24,0.23,0.24,0
1501,0.48,0.5,0.5,0.49,0.45,0.29,0.77,0.28,0.23,0.23,0.21,0.21,0.21,0.22,0.21,0.21,0.23,0.23,0.24,0
1502,0.48,0.5,0.5,0.49,0.45,0.29,0.77,0.3,0.22,0.23,0.21,0.21,0.21,0.22,0.21,0.21,0.23,0.24,0.24,0
1503,0.48,0.5,0.5,0.49,0.45,0.29,0.76,0.29,0.23,0.23,0.21,0.21,0.22,0.22,0.22,0.21,0.23,0.24,0.24,0
1504,0.48,0.5,0.5,0.53,0.45,0.29,0.76,0.23,0.24,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.24,0.24,0.24,0
1505,0.49,0.5,0.5,0.49,0.45,0.29,0.76,0.28,0.25,0.23,0.22,0.22,0.23,0.23,0.23,0.22,0.25,0.25,0.25,0
1506,0.48,0.5,0.5,0.49,0.46,0.29,0.75,0.27,0.25,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.26,0.25,0.25,0
1507,0.48,0.5,0.5,0.49,0.45,0.29,0.75,0.38,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.27,0.26,0.27,0
1508,0.48,0.5,0.5,0.49,0.45,0.29,0.74,0.28,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.27,0.26,0.27,0
1509,0.48,0.5,0.5,0.49,0.45,0.29,0.74,0.34,0.24,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.28,0.27,0.27,0
1510,0.48,0.5,0.5,0.49,0.45,0.29,0.73,0.32,0.27,0.27,0.26,0.26,0.26,0.25,0.26,0.26,0.29,0.27,0.29,0
1511,0.48,0.5,0.5,0.49,0.45,0.29,0.72,0.25,0.26,0.28,0.26,0.26,0.26,0.26,0.26,0.26,0.28,0.28,0.29,0
1512,0.48,0.5,0.5,0.49,0.46,0.29,0.72,0.32,0.29,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.28,0.28,0.29,0
1513,0.49,0.5,0.5,0.49,0.46,0.29,0.71,0.31,0.32,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.3,0.29,0.31,0
1514,0.48,0.5,0.5,0.49,0.47,0.29,0.7,0.31,0.31,0.28,0.29,0.29,0.29,0.28,0.29,0.29,0.31,0.3,0.31,0
1515,0.49,0.5,0.5,0.49,0.45,0.29,0.7,0.33,0.3,0.29,0.3,0.29,0.3,0.29,0.3,0.3,0.31,0.31,0.32,0
1516,0.49,0.5,0.5,0.49,0.45,0.29,0.69,0.35,0.3,0.3,0.31,0.3,0.31,0.3,0.31,0.31,0.32,0.31,0.33,0
1517,0.48,0.5,0.5,0.49,0.45,0.29,0.68,0.36,0.31,0.32,0.31,0.31,0.31,0.3,0.31,0.31,0.33,0.32,0.33,0
1518,0.48,0.5,0.5,0.74,0.48,0.29,0.67,0.32,0.31,0.33,0.32,0.32,0.32,0.31,0.32,0.32,0.34,0.33,0.34,0
1519,0.49,0.5,0.5,0.49,0.45,0.29,0.67,0.32,0.31,0.34,0.33,0.33,0.33,0.32,0.33,0.33,0.33,0.33,0.35,0
1520,0.49,0.5,0.5,0.49,0.47,0.29,0.66,0.34,0.31,0.34,0.34,0.33,0.33,0.33,0.33,0.34,0.35,0.34,0.36,0
1521,0.48,0.5,0.5,0.49,0.47,0.29,0.66,0.34,0.38,0.34,0.35,0.34,0.35,0.34,0.35,0.35,0.35,0.35,0.36,0
1522,0.49,0.5,0.5,0.49,0.48,0.29,0.65,0.4,0.37,0.34,0.35,0.35,0.35,0.34,0.35,0.35,0.37,0.35,0.38,0
1523,0.5,0.5,0.5,0.49,0.49,0.29,0.64,0.29,0.34,0.34,0.36,0.36,0.36,0.35,0.36,0.36,0.37,0.36,0.38,0
1524,0.49,0.5,0.5,0.49,0.49,0.29,0.64,0.37,0.35,0.36,0.36,0.36,0.36,0.35,0.36,0.36,0.37,0.36,0.38,0
1525,0.48,0.5,0.5,0.49,0.47,0.29,0.63,0.37,0.36,0.38,0.38,0.37,0.37,0.36,0.37,0.38,0.37,0.37,0.39,0
1526,0.48,0.5,0.5,0.49,0.46,0.29,0.62,0.37,0.38,0.38,0.38,0.38,0.38,0.37,0.38,0.38,0.38,0.38,0.39,0
1527,0.48,0.5,0.5,0.49,0.46,0.29,0.62,0.39,0.41,0.39,0.39,0.38,0.39,0.37,0.39,0.39,0.39,0.38,0.4,0
1528,0.5,0.5,0.5,0.53,0.48,0.29,0.62,0.32,0.39,0.39,0.39,0.39,0.39,0.38,0.39,0.39,0.38,0.39,0.4,0
1529,0.49,0.5,0.5,0.49,0.48,0.29,0.61,0.31,0.43,0.39,0.4,0.4,0.4,0.39,0.4,0.4,0.39,0.39,0.41,0
1530,0.49,0.5,0.5,0.49,0.5,0.29,0.6,0.32,0.39,0.39,0.41,0.4,0.4,0.4,0.4,0.41,0.4,0.4,0.42,0
1531,0.49,0.5,0.5,0.49,0.51,0.29,0.6,0.36,0.41,0.4,0.41,0.4,0.4,0.4,0.4,0.41,0.4,0.4,0.41,0
1532,0.49,0.5,0.5,0.49,0.5,0.29,0.6,0.39,0.38,0.39,0.41,0.41,0.41,0.4,0.41,0.41,0.41,0.41,0.42,0
1533,0.47,0.5,0.5,0.49,0.51,0.29,0.59,0.35,0.42,0.41,0.42,0.42,0.42,0.41,0.42,0.42,0.42,0.41,0.43,0
1534,0.5,0.5,0.5,0.49,0.51,0.29,0.58,0.44,0.43,0.42,0.43,0.43,0.43,0.42,0.43,0.43,0.42,0.42,0.43,0
1535,0.48,0.5,0.5,0.49,0.51,0.29,0.58,0.41,0.43,0.42,0.43,0.43,0.43,0.42,0.43,0.43,0.42,0.42,0.44,0
1536,0.49,0.5,0.5,0.49,0.51,0.29,0.58,0.5,0.42,0.42,0.43,0.43,0.43,0.42,0.43,0.43,0.43,0.42,0.44,0
1537,0.47,0.5,0.5,0.49,0.5,0.29,0.58,0.52,0.41,0.41,0.43,0.43,0.43,0.42,0.43,0.43,0.43,0.42,0.45,0
1538,0.49,0.5,0.5,0.49,0.5,0.29,0.58,0.47,0.4,0.42,0.43,0.43,0.43,0.42,0.43,0.43,0.43,0.42,0.44,0
1539,0.49,0.5,0.5,0.49,0.5,0.29,0.58,0.42,0.39,0.41,0.43,0.43,0.43,0.42,0.43,0.43,0.42,0.42,0.44,0
1540,0.5,0.5,0.5,0.49,0.51,0.29,0.58,0.44,0.42,0.43,0.44,0.43,0.43,0.43,0.43,0.44,0.43,0.42,0.44,0
1541,0.5,0.5,0.5,0.49,0.51,0.29,0.58,0.45,0.44,0.43,0.44,0.44,0.44,0.43,0.44,0.44,0.43,0.43,0.44,0
1542,0.49,0.5,0.5,0.49,0.51,0.29,0.57,0.58,0.48,0.43,0.45,0.44,0.44,0.43,0.44,0.45,0.44,0.43,0.45,0
1543,0.49,0.5,0.5,0.49,0.51,0.29,0.57,0.54,0.46,0.43,0.45,0.45,0.44,0.44,0.44,0.45,0.44,0.44,0.45,0
1544,0.48,0.5,0.5,0.49,0.51,0.29,0.56,0.44,0.45,0.44,0.45,0.45,0.45,0.44,0.45,0.45,0.44,0.44,0.45,0
1545,0.5,0.5,0.5,0.49,0.51,0.29,0.56,0.5,0.48,0.44,0.46,0.45,0.45,0.45,0.45,0.46,0.45,0.44,0.46,0
1546,0.49,0.5,0.5,0.49,0.51,0.29,0.56,0.46,0.45,0.44,0.46,0.46,0.46,0.45,0.46,0.46,0.44,0.45,0.46,0
1547,0.49,0.5,0.5,0.49,0.51,0.29,0.55,0.47,0.42,0.44,0.46,0.46,0.46,0.45,0.46,0.47,0.45,0.45,0.47,0
1548,0.49,0.5,0.5,0.49,0.51,0.62,0.55,0.4,0.45,0.45,0.47,0.46,0.46,0.46,0.46,0.47,0.45,0.45,0.46,0
1549,0.49,0.5,0.5,0.49,0.51,0.29,0.54,0.39,0.45,0.46,0.47,0.47,0.47,0.47,0.47,0.47,0.45,0.46,0.47,0
1550,0.52,0.5,0.5,0.49,0.51,0.29,0.54,0.4,0.51,0.46,0.47,0.47,0.47,0.46,0.47,0.47,0.46,0.46,0.47,0
1551,0.5,0.5,0.5,0.49,0.52,0.62,0.54,0.4,0.5,0.46,0.48,0.48,0.48,0.47,0.48,0.48,0.46,0.46,0.48,0
1552,0.49,0.5,0.5,0.49,0.51,0.29,0.54,0.46,0.46,0.45,0.48,0.48,0.48,0.47,0.48,0.48,0.47,0.47,0.49,0
1553,0.51,0.5,0.5,0.49,0.51,0.29,0.53,0.48,0.46,0.47,0.49,0.48,0.48,0.48,0.48,0.49,0.47,0.47,0.48,0
1554,0.49,0.5,0.5,0.49,0.51,0.29,0.53,0.42,0.47,0.48,0.49,0.49,0.49,0.48,0.49,0.49,0.47,0.48,0.48,0
1555,0.48,0.5,0.5,0.49,0.51,0.62,0.53,0.45,0.45,0.49,0.49,0.49,0.49,0.48,0.49,0.5,0.47,0.48,0.49,0
1556,0.5,0.5,0.5,0.49,0.52,0.62,0.52,0.41,0.49,0.48,0.5,0.49,0.49,0.49,0.49,0.5,0.47,0.48,0.49,0
1557,0.5,0.5,0.5,0.49,0.51,0.29,0.52,0.46,0.49,0.49,0.5,0.5,0.5,0.49,0.5,0.5,0.48,0.48,0.49,0
1558,0.5,0.5,0.5,0.49,0.52,0.29,0.52,0.52,0.52,0.48,0.5,0.5,0.5,0.49,0.5,0.5,0.48,0.48,0.49,0
1559,0.49,0.5,0.5,0.49,0.51,0.62,0.51,0.55,0.49,0.5,0.51,0.51,0.51,0.5,0.51,0.51,0.49,0.49,0.5,0
1560,0.51,0.5,0.5,0.6,0.51,0.62,0.51,0.44,0.51,0.49,0.51,0.51,0.51,0.51,0.51,0.51,0.49,0.49,0.5,0
1561,0.49,0.5,0.5,0.49,0.51,0.62,0.51,0.47,0.45,0.49,0.52,0.51,0.51,0.51,0.51,0.52,0.5,0.5,0.51,0
1562,0.49,0.5,0.5,0.49,0.53,0.62,0.5,0.49,0.57,0.5,0.53,0.53,0.52,0.52,0.52,0.53,0.5,0.51,0.52,0
1563,0.47,0.5,0.5,0.53,0.51,0.62,0.49,0.5,0.57,0.51,0.53,0.53,0.53,0.52,0.53,0.53,0.51,0.51,0.52,0
1564,0.48,0.5,0.5,0.49,0.51,0.62,0.49,0.56,0.54,0.51,0.53,0.53,0.53,0.53,0.53,0.53,0.51,0.51,0.52,0
1565,0.48,0.5,0.5,0.53,0.51,0.62,0.48,0.48,0.49,0.53,0.54,0.54,0.54,0.54,0.54,0.54,0.52,0.52,0.53,0
1566,0.49,0.5,0.5,0.49,0.52,0.62,0.48,0.47,0.55,0.53,0.55,0.55,0.54,0.54,0.54,0.55,0.53,0.53,0.55,0
1567,0.51,0.5,0.5,0.56,0.51,0.62,0.47,0.47,0.55,0.54,0.55,0.55,0.55,0.55,0.55,0.55,0.53,0.53,0.54,0
1568,0.51,0.5,0.5,0.63,0.54,0.62,0.47,0.57,0.55,0.54,0.55,0.55,0.55,0.55,0.55,0.55,0.53,0.53,0.53,0
1569,0.51,0.5,0.5,0.67,0.51,0.62,0.47,0.54,0.51,0.54,0.56,0.56,0.56,0.56,0.56,0.56,0.52,0.54,0.52,0
1570,0.47,0.5,0.5,0.49,0.52,0.62,0.47,0.49,0.5,0.54,0.56,0.56,0.56,0.56,0.56,0.56,0.53,0.54,0.52,0
1571,0.5,0.5,0.5,0.49,0.51,0.62,0.46,0.46,0.54,0.54,0.56,0.56,0.56,0.56,0.56,0.56,0.53,0.54,0.52,0
1572,0.48,0.5,0.5,0.53,0.52,0.62,0.46,0.5,0.56,0.55,0.57,0.57,0.57,0.57,0.57,0.57,0.54,0.55,0.53,0
1573,0.5,0.5,0.5,0.49,0.51,0.62,0.46,0.52,0.56,0.55,0.57,0.57,0.57,0.57,0.57,0.57,0.54,0.55,0.53,0
1574,0.52,0.5,0.5,0.49,0.52,0.62,0.46,0.56,0.55,0.55,0.57,0.57,0.57,0.57,0.57,0.57,0.54,0.55,0.53,0
1575,0.52,0.5,0.5,0.53,0.51,0.62,0.45,0.52,0.54,0.55,0.58,0.58,0.57,0.58,0.57,0.58,0.54,0.55,0.53,0
1576,0.51,0.5,0.5,0.49,0.51,0.62,0.45,0.53,0.53,0.55,0.58,0.58,0.57,0.58,0.57,0.58,0.54,0.55,0.53,0
1577,0.53,0.5,0.5,0.49,0.52,0.62,0.44,0.57,0.55,0.55,0.58,0.58,0.58,0.58,0.58,0.58,0.55,0.56,0.54,0
1578,0.5,0.5,0.5,0.99,0.52,0.62,0.44,0.54,0.56,0.56,0.58,0.58,0.58,0.58,0.58,0.58,0.55,0.56,0.54,0
1579,0.53,0.5,0.5,0.49,0.5,0.62,0.44,0.54,0.58,0.56,0.58,0.58,0.58,0.58,0.58,0.59,0.56,0.56,0.54,0
1580,0.5,0.5,0.5,0.49,0.52,0.62,0.44,0.44,0.53,0.56,0.59,0.59,0.59,0.59,0.59,0.59,0.54,0.57,0.54,0
1581,0.56,0.5,0.5,0.74,0.52,0.62,0.43,0.53,0.59,0.57,0.59,0.6,0.59,0.6,0.59,0.6,0.57,0.57,0.56,0
1582,0.57,0.5,0.5,0.49,0.52,0.62,0.43,0.54,0.55,0.58,0.6,0.6,0.6,0.6,0.6,0.6,0.56,0.58,0.55,0
1583,0.56,0.5,0.5,0.49,0.52,0.62,0.42,0.49,0.66,0.59,0.61,0.61,0.61,0.61,0.61,0.61,0.56,0.58,0.56,0
1584,0.53,0.5,0.5,0.49,0.52,0.62,0.41,0.56,0.66,0.59,0.61,0.62,0.61,0.62,0.61,0.61,0.57,0.59,0.56,0
1585,0.53,0.5,0.5,0.49,0.51,0.62,0.42,0.61,0.62,0.59,0.61,0.61,0.61,0.61,0.61,0.61,0.57,0.59,0.56,0
1586,0.51,0.5,0.5,0.53,0.51,0.62,0.41,0.55,0.62,0.6,0.62,0.62,0.62,0.63,0.62,0.62,0.59,0.6,0.57,0
1587,0.47,0.5,0.5,0.56,0.5,0.62,0.4,0.54,0.59,0.6,0.63,0.63,0.63,0.63,0.63,0.63,0.59,0.61,0.57,0
1588,0.51,0.5,0.5,0.49,0.51,0.62,0.39,0.58,0.58,0.62,0.64,0.64,0.63,0.64,0.63,0.64,0.6,0.61,0.58,0
1589,0.5,0.5,0.5,0.49,0.51,0.62,0.38,0.64,0.6,0.63,0.64,0.65,0.64,0.65,0.64,0.65,0.61,0.62,0.59,0
1590,0.49,0.5,0.5,0.49,0.51,0.94,0.38,0.64,0.6,0.63,0.65,0.65,0.65,0.66,0.65,0.65,0.61,0.62,0.6,0
1591,0.51,0.5,0.5,0.53,0.51,0.62,0.38,0.63,0.64,0.64,0.65,0.66,0.65,0.67,0.65,0.65,0.61,0.63,0.6,0
1592,0.53,0.5,0.5,0.53,0.51,0.94,0.38,0.6,0.62,0.63,0.64,0.65,0.64,0.66,0.64,0.64,0.61,0.62,0.6,0
1593,0.54,0.5,0.5,0.49,0.52,0.62,0.38,0.57,0.61,0.63,0.65,0.65,0.65,0.66,0.65,0.65,0.61,0.63,0.6,0
1594,0.54,0.5,0.5,0.49,0.51,0.62,0.38,0.58,0.61,0.63,0.64,0.65,0.64,0.66,0.64,0.65,0.61,0.62,0.59,0
1595,0.57,0.5,0.5,0.49,0.51,0.62,0.39,0.6,0.59,0.62,0.64,0.64,0.64,0.65,0.64,0.64,0.61,0.62,0.59,0
1596,0.57,0.5,0.5,0.49,0.53,0.62,0.39,0.59,0.61,0.61,0.63,0.64,0.63,0.65,0.63,0.63,0.59,0.61,0.58,0
1597,0.55,0.5,0.5,0.49,0.52,0.62,0.4,0.56,0.6,0.6,0.63,0.63,0.62,0.63,0.62,0.63,0.59,0.6,0.58,0
1598,0.62,0.5,0.5,0.49,0.51,0.62,0.41,0.5,0.61,0.6,0.62,0.62,0.62,0.63,0.62,0.62,0.58,0.6,0.57,0
1599,0.51,0.5,0.5,0.49,0.52,0.62,0.41,0.56,0.59,0.59,0.62,0.62,0.61,0.62,0.61,0.62,0.57,0.59,0.57,0
1600,0.48,0.5,0.5,0.49,0.52,0.62,0.42,0.57,0.59,0.59,0.61,0.61,0.61,0.61,0.61,0.61,0.56,0.59,0.56,0
1601,0.5,0.5,0.5,0.53,0.52,0.62,0.42,0.59,0.61,0.59,0.61,0.61,0.61,0.61,0.61,0.61,0.58,0.59,0.57,0
1602,0.49,0.5,0.5,0.49,0.52,0.62,0.42,0.57,0.62,0.57,0.6,0.61,0.6,0.61,0.6,0.6,0.57,0.58,0.56,0
1603,0.5,0.5,0.5,0.49,0.53,0.62,0.43,0.6,0.56,0.57,0.6,0.6,0.6,0.6,0.6,0.6,0.56,0.58,0.55,0
1604,0.5,0.5,0.5,0.53,0.52,0.62,0.43,0.52,0.6,0.57,0.6,0.6,0.59,0.59,0.59,0.6,0.56,0.57,0.55,0
1605,0.5,0.5,0.5,0.49,0.51,0.62,0.44,0.51,0.61,0.56,0.59,0.59,0.59,0.59,0.59,0.59,0.56,0.57,0.55,0
1606,0.49,0.5,0.5,0.49,0.52,0.62,0.44,0.54,0.56,0.55,0.58,0.58,0.58,0.58,0.58,0.58,0.56,0.56,0.54,0
1607,0.52,0.5,0.5,0.49,0.52,0.62,0.44,0.49,0.57,0.55,0.59,0.58,0.58,0.58,0.58,0.59,0.55,0.56,0.54,0
1608,0.49,0.5,0.5,0.49,0.53,0.62,0.45,0.46,0.58,0.55,0.58,0.58,0.58,0.57,0.58,0.58,0.55,0.56,0.54,0
1609,0.54,0.5,0.5,0.49,0.53,0.62,0.42,0.62,0.63,0.58,0.6,0.6,0.6,0.6,0.6,0.61,0.57,0.58,0.56,0
1610,0.58,0.5,0.5,0.49,0.52,0.62,0.44,0.68,0.57,0.56,0.58,0.58,0.58,0.58,0.58,0.59,0.56,0.56,0.56,0
1611,0.58,0.5,0.5,0.49,0.52,0.62,0.44,0.56,0.55,0.56,0.59,0.59,0.58,0.58,0.58,0.59,0.55,0.57,0.55,0
1612,0.59,0.5,0.5,0.49,0.52,0.62,0.44,0.46,0.55,0.56,0.59,0.59,0.58,0.58,0.58,0.59,0.55,0.56,0.55,0
1613,0.59,0.5,0.5,0.49,0.52,0.62,0.44,0.54,0.56,0.57,0.59,0.59,0.59,0.59,0.59,0.59,0.56,0.57,0.55,0
1614,0.69,0.5,0.5,0.49,0.51,0.62,0.44,0.45,0.52,0.56,0.58,0.58,0.58,0.58,0.58,0.58,0.55,0.56,0.55,0
1615,0.51,0.5,0.5,0.49,0.53,0.62,0.44,0.47,0.54,0.55,0.58,0.58,0.58,0.58,0.58,0.58,0.55,0.56,0.55,0
1616,0.54,0.5,0.5,0.49,0.52,0.62,0.44,0.54,0.53,0.56,0.58,0.58,0.58,0.58,0.58,0.58,0.54,0.56,0.54,0
1617,0.49,0.5,0.5,0.49,0.52,0.62,0.45,0.52,0.61,0.55,0.58,0.58,0.58,0.58,0.58,0.58,0.54,0.56,0.54,0
1618,0.48,0.5,0.5,0.49,0.52,0.62,0.45,0.45,0.57,0.56,0.58,0.58,0.58,0.58,0.58,0.58,0.55,0.56,0.54,0
1619,0.48,0.5,0.5,0.49,0.52,0.62,0.45,0.55,0.54,0.56,0.58,0.58,0.58,0.58,0.58,0.58,0.55,0.56,0.54,0
1620,0.47,0.5,0.5,0.49,0.52,0.62,0.45,0.53,0.55,0.54,0.57,0.57,0.57,0.57,0.57,0.57,0.54,0.55,0.54,0
1621,0.49,0.5,0.5,0.49,0.51,0.62,0.45,0.54,0.49,0.55,0.58,0.58,0.58,0.57,0.58,0.58,0.54,0.56,0.54,0
1622,0.49,0.5,0.5,0.49,0.53,0.62,0.45,0.5,0.56,0.55,0.57,0.57,0.57,0.58,0.57,0.57,0.54,0.55,0.54,0
1623,0.5,0.5,0.5,0.49,0.52,0.62,0.45,0.48,0.52,0.55,0.58,0.58,0.57,0.58,0.57,0.58,0.54,0.55,0.54,0
1624,0.51,0.5,0.5,0.53,0.52,0.62,0.45,0.44,0.64,0.55,0.58,0.58,0.57,0.58,0.57,0.58,0.55,0.55,0.55,0
1625,0.52,0.5,0.5,0.49,0.52,0.62,0.45,0.49,0.57,0.55,0.57,0.58,0.57,0.58,0.57,0.57,0.54,0.55,0.54,0
1626,0.5,0.5,0.5,0.49,0.51,0.62,0.45,0.5,0.61,0.56,0.57,0.57,0.57,0.58,0.57,0.57,0.53,0.55,0.54,0
1627,0.51,0.5,0.5,0.49,0.52,0.62,0.45,0.57,0.52,0.55,0.57,0.58,0.57,0.58,0.57,0.57,0.54,0.55,0.54,0
1628,0.5,0.5,0.5,0.49,0.51,0.62,0.45,0.53,0.56,0.55,0.58,0.58,0.58,0.58,0.58,0.58,0.55,0.55,0.54,0
1629,0.53,0.5,0.5,0.49,0.52,0.62,0.44,0.51,0.5,0.57,0.59,0.59,0.58,0.59,0.58,0.59,0.55,0.56,0.54,0
1630,0.55,0.5,0.5,0.49,0.51,0.62,0.45,0.43,0.55,0.56,0.58,0.58,0.58,0.58,0.58,0.58,0.55,0.56,0.54,0
1631,0.55,0.5,0.5,0.49,0.52,0.62,0.45,0.48,0.61,0.55,0.58,0.58,0.58,0.59,0.58,0.58,0.55,0.56,0.54,0
1632,0.54,0.5,0.5,0.49,0.51,0.62,0.45,0.58,0.56,0.55,0.58,0.58,0.57,0.58,0.57,0.57,0.55,0.55,0.54,0
1633,0.53,0.5,0.5,0.49,0.51,0.62,0.45,0.48,0.57,0.56,0.58,0.58,0.57,0.58,0.57,0.58,0.54,0.55,0.54,0
1634,0.56,0.5,0.5,0.53,0.52,0.62,0.45,0.52,0.58,0.56,0.58,0.58,0.58,0.59,0.58,0.58,0.55,0.56,0.54,0
1635,0.48,0.5,0.5,0.49,0.52,0.62,0.45,0.48,0.54,0.56,0.58,0.58,0.58,0.58,0.58,0.58,0.54,0.56,0.54,0
1636,0.54,0.5,0.5,0.49,0.51,0.62,0.44,1.0,0.6,0.56,0.59,0.59,0.59,0.59,0.59,0.59,0.56,0.57,0.56,0
1637,0.48,0.5,0.5,0.49,0.53,0.62,0.44,0.6,0.54,0.56,0.58,0.58,0.58,0.59,0.58,0.58,0.56,0.56,0.55,0
1638,0.51,0.5,0.5,0.49,0.53,0.62,0.44,0.62,0.59,0.57,0.59,0.59,0.59,0.59,0.59,0.59,0.55,0.57,0.55,0
1639,0.54,0.5,0.5,0.49,0.52,0.62,0.44,0.56,0.53,0.56,0.58,0.59,0.58,0.59,0.58,0.58,0.55,0.56,0.55,0
1640,0.54,0.5,0.5,0.49,0.51,0.62,0.45,0.52,0.61,0.56,0.58,0.58,0.58,0.58,0.58,0.58,0.54,0.56,0.54,0
1641,0.56,0.5,0.5,0.49,0.51,0.62,0.44,0.55,0.57,0.56,0.58,0.58,0.58,0.58,0.58,0.58,0.55,0.56,0.54,0
1642,0.58,0.5,0.5,0.49,0.53,0.62,0.44,0.59,0.59,0.56,0.58,0.59,0.58,0.59,0.58,0.58,0.55,0.56,0.54,0
1643,0.55,0.5,0.5,0.49,0.53,0.62,0.45,0.48,0.56,0.55,0.58,0.58,0.58,0.58,0.58,0.58,0.55,0.56,0.54,0
1644,0.54,0.5,0.5,0.49,0.53,0.62,0.45,0.49,0.55,0.55,0.57,0.57,0.57,0.58,0.57,0.57,0.54,0.55,0.54,0
1645,0.53,0.5,0.5,0.49,0.52,0.62,0.44,0.63,0.56,0.56,0.58,0.58,0.58,0.58,0.58,0.58,0.55,0.56,0.54,0
1646,0.48,0.5,0.5,0.49,0.53,0.62,0.45,0.46,0.56,0.54,0.58,0.58,0.57,0.57,0.57,0.58,0.54,0.55,0.54,0
1647,0.52,0.5,0.5,0.49,0.52,0.62,0.45,0.46,0.58,0.55,0.57,0.57,0.57,0.57,0.57,0.57,0.54,0.55,0.53,0
1648,0.5,0.5,0.5,0.49,0.53,0.62,0.45,0.47,0.59,0.55,0.58,0.58,0.57,0.58,0.57,0.58,0.54,0.56,0.54,0
1649,0.54,0.5,0.5,0.49,0.52,0.62,0.45,0.47,0.52,0.55,0.58,0.58,0.57,0.58,0.57,0.58,0.54,0.56,0.54,0
1650,0.51,0.5,0.5,0.49,0.51,0.62,0.45,0.5,0.54,0.55,0.57,0.58,0.57,0.58,0.57,0.57,0.54,0.55,0.54,0
1651,0.49,0.5,0.5,0.49,0.5,0.62,0.46,0.49,0.54,0.54,0.57,0.57,0.57,0.57,0.57,0.57,0.54,0.55,0.53,0
1652,0.47,0.5,0.5,0.49,0.51,0.62,0.46,0.43,0.6,0.54,0.57,0.57,0.57,0.57,0.57,0.57,0.53,0.55,0.53,0
