Data,ClassEntropy,ClassProbabilityMax,ClassProbabilityMean,ClassProbabilityMin,ClassProbabilitySTD,DatasetRatio,InverseDatasetRatio,KurtosisMax,KurtosisMean,KurtosisMin,KurtosisSTD,Landmark1NN,LandmarkDecisionNodeLearner,LandmarkDecisionTree,LandmarkLDA,LandmarkNaiveBayes,LandmarkRandomNodeLearner,LogDatasetRatio,LogInverseDatasetRatio,LogNumberOfFeatures,LogNumberOfInstances,NumberOfCategoricalFeatures,NumberOfClasses,NumberOfFeatures,NumberOfFeaturesWithMissingValues,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,PCAFractionOfComponentsFor95PercentVariance,PCAKurtosisFirstPC,PCASkewnessFirstPC,PercentageOfFeaturesWithMissingValues,PercentageOfInstancesWithMissingValues,PercentageOfMissingValues,RatioNominalToNumerical,RatioNumericalToNominal,SkewnessMax,SkewnessMean,SkewnessMin,SkewnessSTD,SymbolsMax,SymbolsMean,SymbolsMin,SymbolsSTD,SymbolsSum
1460,0.992274433,0.551698113,0.5,0.448301887,0.051698113,0.000377358,2650,-0.631259203,-0.844625235,-1.057991266,0.213366032,0.872259872,0.584167205,0.873581706,0.55754911,0.615466679,0.594717596,-7.882314919,7.882314919,0.693147181,8.5754621,0,2,2,0,5300,0,0,2,1,-0.717018604,0.090421319,0,0,0,0,0,0.168717057,0.097252978,0.0257889,0.071464079,0,0,0,0,0
1464,0.79164463,0.762032086,0.5,0.237967914,0.262032086,0.005347594,187,15.76221657,10.14827627,-0.252002954,6.555214694,0.677855856,0.762054054,0.718018018,0.770126126,0.751387387,0.762054054,-5.231108617,5.231108617,1.386294361,6.617402978,0,2,4,0,748,0,0,4,0.75,9.456204414,-2.383033276,0,0,0,0,0,3.204822302,2.258570373,0.747946501,1.026961809,0,0,0,0,0
1467,0.420191037,0.914814815,0.5,0.085185185,0.414814815,0.037037037,27,-1.198681474,-1.215041146,-1.500000119,0.065377016,0.867009085,0.914929166,0.868383203,0.907554158,0.898430849,0.914929166,-3.295836866,3.295836866,2.995732274,6.29156914,0,2,20,0,540,0,0,20,0.9,-1.189602494,-0.003237175,0,0,0,0,0,0.00127098,2.90E-05,-0.000830405,0.00064342,0,0,0,0,0
1471,0.992422373,0.551201602,0.5,0.448798398,0.051201602,0.000934579,1070,14974.17918,8901.750149,2055.834473,5971.858571,0.83764962,0.592523033,0.83751669,0.638318151,0.45674512,0.592523033,-6.975413927,6.975413927,2.63905733,9.614471257,0,2,14,0,14980,0,0,14,0.357142857,10777.03613,94.32358551,0,0,0,0,0,122.3755264,71.73008449,-13.61379623,51.96184197,0,0,0,0,0
1472,4.669548634,0.096354167,0.027027027,0.001302083,0.024156509,0.01171875,85.33333333,0.108033241,-1.172748116,-2,0.612286853,0.621290881,0.156487497,0.74871306,0.515781107,0.414485894,0.104822334,-4.446565156,4.446565156,2.197224577,6.643789733,1,37,9,0,768,0,0,8,0.282608696,-1.600244116,-0.148621669,0,0,0,0.125,8,0.532375093,0.092448388,-0.162445927,0.250401905,38,38,38,0,38
1473,0.529360865,0.88,0.5,0.12,0.38,0.09,11.11111111,2.841733932,-0.316165178,-1.998399496,1.448988779,0.837171717,0.881414141,0.756060606,0.839191919,0.859191919,0.881414141,-2.407945609,2.407945609,2.197224577,4.605170186,0,2,9,0,100,0,0,9,1,-0.53107357,0.279054821,0,0,0,0,0,0.763940811,-0.043196824,-2.200394154,0.894847236,0,0,0,0,0
1475,2.300007058,0.417456685,0.166666667,0.079437725,0.116274882,0.008336058,119.9607843,2942.245926,228.0034368,-0.972157723,583.7626772,0.589058983,0.415339503,0.56357994,0.470091877,0.171622519,0.431844827,-4.787164892,4.787164892,3.931825633,8.718990525,0,6,51,0,6118,0,0,51,0.431372549,7.92460537,-2.404107332,0,0,0,0,0,53.77165222,7.439151223,-1.875304699,11.22534392,0,0,0,0,0
1481,3.504159021,0.162282578,0.055555556,0.000962361,0.052067414,0.000213858,4676,-0.480255974,-0.962037525,-1.229433106,0.341357683,0.544903554,0.190834086,0.830914382,0.302567744,0.066865118,0.162282993,-8.450198323,8.450198323,1.791759469,10.24195779,3,18,6,0,28056,0,0,3,0.739130435,-0.140624679,-0.566540809,0,0,0,1,1,0.755723188,0.249674125,-0.005918289,0.357836867,8,6.666666667,4,1.885618083,20
1482,4.892179818,0.047058824,0.033333333,0.023529412,0.004762729,0.044117647,22.66666667,11.77688599,2.836008255,-0.905374765,4.111169803,0.646296235,0.081968082,0.643651158,0.81284641,0.734964714,0.084825225,-3.120895417,3.120895417,2.708050201,5.828945618,0,30,15,0,340,0,0,15,0.466666667,-0.000827551,0.075520083,0,0,0,0,0,3.310428143,0.661628791,-2.621603251,1.61419418,0,0,0,0,0
1483,2.711256046,0.33046221,0.090909091,0.008376805,0.098016995,4.25E-05,23551.42857,-1.197093991,-1.19920286,-1.200034958,0.001096409,0.75714544,0.330462217,0.849902526,0.391962574,0.405677547,0.330462217,-10.06694176,10.06694176,1.945910149,12.01285191,2,11,7,0,164860,0,0,5,0.642857143,-1.190024291,-0.026683249,0,0,0,0.4,2.5,0.000107494,-0.000511215,-0.001825109,0.000755689,5,4.5,4,0.5,9
1486,0.862999993,0.714376904,0.5,0.285623096,0.214376904,0.003423763,292.0762712,4303.043266,321.3505521,-1.85312277,1075.077082,0.952009451,0.752677149,0.949630015,0.940374631,0.81456581,0.714376919,-5.677014971,5.677014971,4.770684624,10.4476996,29,2,118,0,34465,0,0,89,0.005747126,4303.043265,-65.61251613,0,0,0,0.325842697,3.068965517,2.319422724,-7.062846464,-65.61251613,16.29091987,3,2.931034483,2,0.253395491,85
1487,0.339790425,0.936858721,0.5,0.063141279,0.436858721,0.028413575,35.19444444,77.503479,1.48774358,-0.976974243,9.058857741,0.926997292,0.936858486,0.909241854,0.938831658,0.692203791,0.936858486,-3.560888242,3.560888242,4.276666119,7.837554361,0,2,72,0,2534,0,0,72,0.277777778,-0.441046476,-0.529726803,0,0,0,0,0,7.372093201,0.085905132,-1.307584286,1.119275958,0,0,0,0,0
1488,0.805125007,0.753846154,0.5,0.246153846,0.253846154,0.112820513,8.863636364,21.40441895,5.347964275,-0.928926442,6.150553445,0.953070175,0.819766082,0.886695906,0.886432749,0.692309942,0.754239766,-2.181957105,2.181957105,3.091042453,5.272999559,0,2,22,0,195,0,0,22,0.363636364,5.667128563,-1.95254612,0,0,0,0,0,4.18817234,1.644494241,-0.510352552,1.294513772,0,0,0,0,0
1489,0.873182258,0.706513694,0.5,0.293486306,0.206513694,0.000925241,1080.8,1.762372607,0.338323904,-0.857600723,1.095199546,0.905620463,0.75426442,0.869165969,0.758516824,0.760740424,0.75426442,-6.985456787,6.985456787,1.609437912,8.594894699,0,2,5,0,5404,0,0,5,1,-1.245508075,0.077530302,0,0,0,0,0,1.481981277,0.779248771,0.2094367,0.492757696,0,0,0,0,0
1496,0.999931711,0.504864865,0.5,0.495135135,0.004864865,0.002702703,370,1.712436846,1.503945374,1.313849374,0.113544053,0.751482106,0.602300917,0.878651214,0.7624288,0.97973244,0.588782814,-5.913503006,5.913503006,2.995732274,8.909235279,0,2,20,0,7400,0,0,20,0.95,0.502646208,0.696339548,0,0,0,0,0,-0.12180046,-0.233763503,-0.311524302,0.042830417,0,0,0,0,0
1498,0.930738811,0.653679654,0.5,0.346320346,0.153679654,0.019480519,51.33333333,7.64114327,2.566060128,-1.0182231,3.113863387,0.651572618,0.653700278,0.638714154,0.718501388,0.701248844,0.651480111,-3.938340314,3.938340314,2.197224577,6.135564891,1,2,9,0,462,0,0,8,0.8,-0.699677285,-0.113943007,0,0,0,0.125,8,2.334595837,0.871180874,-0.380493742,1.023609095,2,2,2,0,2
1500,1.584962501,0.333333333,0.333333333,0.333333333,0,0.033333333,30,-0.093464352,-0.74284725,-1.108964562,0.405220092,0.928571429,0.652380952,0.904761905,0.966666667,0.904761905,0.652380952,-3.401197382,3.401197382,1.945910149,5.347107531,0,3,7,0,210,0,0,7,0.428571429,-1.160695076,0.329497457,0,0,0,0,0,0.557875991,0.265505052,-0.534103453,0.349899389,0,0,0,0,0
1501,3.32181949,0.101694915,0.1,0.097300691,0.001225312,0.160703076,6.22265625,19.55023193,-0.964104177,-1.998484493,1.761446325,0.918972643,0.197773435,0.745606499,0.887033595,0.785484474,0.144949414,-1.828196865,1.828196865,5.545177444,7.37337431,0,10,256,0,1593,0,0,256,0.6328125,-0.190007687,-0.563790143,0,0,0,0,0,4.642221928,0.808619723,-0.613259315,0.618085695,0,0,0,0,0
1503,3.32191346,0.100647279,0.1,0.099234205,0.000450299,5.32E-05,18804,1.648521423,-0.074283441,-1.999875784,0.75276403,0.246919411,0.103253012,0.133398595,0.106759184,0.106352754,0.102292046,-9.841824892,9.841824892,2.63905733,12.48088222,0,10,14,0,263256,0,0,14,0.857142857,-0.439258099,0.609737039,0,0,0,0,0,0.212598443,-0.152899303,-0.745547473,0.260555421,0,0,0,0,0
1505,4.245430966,0.063476115,0.05,0.030514842,0.015768661,6.55E-05,15260.33333,-1.199957493,-1.200070449,-1.200183405,0.000112956,1,0.126930357,1,0.265666324,1,0.06349823,-9.633012148,9.633012148,1.098612289,10.73162444,1,20,3,0,45781,0,0,2,0.848484848,-0.605402472,0.000696314,0,0,0,0.5,2,-0.001229058,-0.004706757,-0.008184457,0.003477699,31,31,31,0,31
1507,0.999999526,0.500405405,0.5,0.499594595,0.000405405,0.002702703,370,0.048317671,-0.064648382,-0.144884144,0.044159143,0.947427625,0.66202209,0.846624561,0.978240297,0.978645337,0.677699236,-5.913503006,5.913503006,2.995732274,8.909235279,0,2,20,0,7400,0,0,20,0.95,-1.275804043,0.002670197,0,0,0,0,0,0.051685687,0.011568242,-0.032897849,0.025243881,0,0,0,0,0
1508,2.047102062,0.320099256,0.2,0.05955335,0.114785123,0.012406948,80.6,-0.178280298,-0.772804896,-1.199407458,0.413792902,0.79810626,0.571315261,0.87079035,0.916223992,0.855303927,0.359373593,-4.38949865,4.38949865,1.609437912,5.998936562,0,5,5,0,403,0,0,5,1,0.014285326,-0.272007167,0,0,0,0,0,0.694749355,0.391011525,0.019226136,0.253437548,0,0,0,0,0
1509,3.991583886,0.147262476,0.045454545,0.006100501,0.039585912,2.68E-05,37333,2.14864881,1.466742244,0.291643312,0.702921267,0.566885026,0.148347779,0.588098984,0.278138967,0.350106107,0.148347779,-10.52763293,10.52763293,1.386294361,11.91392729,0,22,4,0,149332,0,0,4,1,2.163201332,-0.858695686,0,0,0,0,0,1.219953299,0.402580373,-0.386417061,0.760459434,0,0,0,0,0
151,0.983509391,0.575454626,0.5,0.424545374,0.075454626,0.000176554,5664,7048.170114,1029.286902,-1.314318935,2457.813688,0.832869637,0.757393212,0.890911406,0.730931617,0.728394062,0.575454628,-8.641885635,8.641885635,2.079441542,10.72132718,1,2,8,0,45312,0,0,7,0.714285714,7.624698758,-0.384731962,0,0,0,0.142857143,7,78.69416057,12.62156266,-0.167695995,27.15246219,7,7,7,0,7
1510,0.952635122,0.62741652,0.5,0.37258348,0.12741652,0.052724077,18.96666667,48.76718813,7.735705864,-0.541366945,12.54773008,0.943758102,0.88369847,0.938527353,0.956072293,0.93486302,0.706599473,-2.942683052,2.942683052,3.401197382,6.343880434,0,2,30,0,569,0,0,30,0.333333333,0.895444393,-1.05363667,0,0,0,0,0,5.432815075,1.735815129,0.414330006,1.253919536,0,0,0,0,0
1512,2.174547125,0.28,0.2,0.05,0.080062476,0.065,15.38461538,95.01008248,9.141557392,-1.471705317,25.96742435,0.342914351,0.269219244,0.30578457,0.343026588,0.119020377,0.294820748,-2.733368009,2.733368009,2.564949357,5.298317367,0,5,13,0,200,0,0,13,0.923076923,-1.080070376,0.517071068,0,0,0,0,0,9.849369049,0.501973324,-5.51037693,3.190060451,0,0,0,0,0
1513,1.97589208,0.390243902,0.2,0.040650407,0.130649167,0.097560976,10.25,26.50384635,2.817531808,-1.70853589,7.694609796,0.398205128,0.320091575,0.338241758,0.378956044,0.103058608,0.445695971,-2.327277706,2.327277706,2.48490665,4.812184355,0,5,12,0,123,0,0,12,0.916666667,-0.600974321,0.049238846,0,0,0,0,0,5.229492188,0.148828953,-3.064065218,1.96172723,0,0,0,0,0
1516,1.928758087,0.386363636,0.25,0.181818182,0.081549432,1.022727273,0.977777778,31.03069687,10.70873777,2.186028004,7.505114721,0.812402597,0.597922078,0.760036075,0.422633478,0.941226551,0.387316017,0.022472856,-0.022472856,4.49980967,4.477336814,0,4,90,0,88,0,0,90,0.166666667,6.004642487,1.295300364,0,0,0,0,0,2.46717,-0.206190345,-2.582669973,1.512868108,0,0,0,0,0
1517,2.113338068,0.425531915,0.2,0.106382979,0.116225534,1.914893617,0.522222222,36.10629739,4.22289878,-0.8466811,6.95346687,0.623333333,0.54,0.696666667,0.448333333,0.755,0.543333333,0.649662069,-0.649662069,4.49980967,3.850147602,0,5,90,0,47,0,0,90,0.266666667,2.682838917,1.44725585,0,0,0,0,0,5.92502594,0.070979898,-5.68070507,1.599360947,0,0,0,0,0
1518,1.760415802,0.425531915,0.25,0.063829787,0.135716498,1.914893617,0.522222222,36.10629739,4.22289878,-0.8466811,6.95346687,0.603333333,0.416666667,0.615,0.52,0.75,0.483333333,0.649662069,-0.649662069,4.49980967,3.850147602,0,4,90,0,47,0,0,90,0.266666667,2.682838917,1.44725585,0,0,0,0,0,5.92502594,0.070979898,-5.68070507,1.599360947,0,0,0,0,0
1519,1.344618002,0.615384615,0.333333333,0.179487179,0.199714897,0.769230769,1.3,58.37981984,24.91756592,3.923469415,12.19526457,0.803338328,0.608075258,0.756052281,0.675732601,0.876398601,0.617166167,-0.262364264,0.262364264,4.49980967,4.762173935,0,3,90,0,117,0,0,90,0.222222222,17.23736,-3.903002977,0,0,0,0,0,6.567877769,-1.235846779,-6.538087845,3.549449955,0,0,0,0,0
1520,2.248148355,0.286585366,0.2,0.12804878,0.064461343,0.548780488,1.822222222,78.36369945,32.15225674,3.513165828,15.59159763,0.59520861,0.371239864,0.587957148,0.409857978,0.609245663,0.383745147,-0.600056757,0.600056757,4.49980967,5.099866428,0,5,90,0,164,0,0,90,0.266666667,26.37688065,-4.740766525,0,0,0,0,0,7.386831284,-1.436914546,-7.395630836,3.896323551,0,0,0,0,0
1527,0.626548429,0.907749077,0.2,0.017835178,0.353891319,0.000922509,1084,2.490040779,0.015634031,-1.23705298,1.749715464,0.992022513,0.907771221,0.994468996,0.909922271,0.910233768,0.907771221,-6.988413182,6.988413182,1.098612289,8.087025471,0,5,3,0,3252,0,0,3,1,0.29199481,0.608585715,0,0,0,0,0,1.606671453,0.549755057,0.014198839,0.747375221,0,0,0,0,0
1528,0.633915079,0.906346272,0.2,0.017868145,0.353190549,0.001848429,541,2.404562976,-0.009362776,-1.237272024,1.706988948,0.879330123,0.906432541,0.876875389,0.905167483,0.903948021,0.906432541,-6.293419279,6.293419279,1.098612289,7.392031568,0,5,3,0,1623,0,0,3,1,0.237701893,-0.568391323,0,0,0,0,0,1.594497204,0.542906866,0.009661914,0.743611537,0,0,0,0,0
1529,0.666583759,0.900065746,0.2,0.019066404,0.350052878,0.001972387,507,2.196289063,-0.079745552,-1.240113082,1.609502968,0.874411628,0.90016481,0.875162597,0.896216757,0.899554507,0.90016481,-6.228511004,6.228511004,1.098612289,7.327123292,0,5,3,0,1521,0,0,3,1,0.158254385,0.573196054,0,0,0,0,0,1.538599849,0.527677184,0.004334257,0.71497936,0,0,0,0,0
1530,0.661567705,0.900990099,0.2,0.019141914,0.3505173,0.001980198,505,1.985490799,-0.146732608,-1.243901849,1.507922868,0.87011811,0.901088109,0.8660536,0.899771408,0.895187075,0.901088109,-6.224558429,6.224558429,1.098612289,7.323170718,0,5,3,0,1515,0,0,3,1,0.149760962,-0.527585268,0,0,0,0,0,1.482023239,0.506736967,0.001785375,0.689776325,0,0,0,0,0
1531,0.294800781,0.962165881,0.2,0.002555031,0.38113132,0.000294811,3392,8.968920708,2.199722799,-1.184913114,4.786545744,0.943494342,0.962168189,0.940250938,0.96000245,0.960589719,0.962168189,-8.129174997,8.129174997,1.098612289,9.227787286,0,5,3,0,10176,0,0,3,1,1.743242741,-0.572393954,0,0,0,0,0,1.682947278,0.546305357,-0.02351282,0.80372814,0,0,0,0,0
1532,0.282373321,0.964098238,0.2,0.002437195,0.382093235,0.000281215,3556,8.652364731,2.095886351,-1.189009025,4.636133509,0.94619282,0.964100379,0.948066885,0.962695964,0.962601715,0.964100379,-8.176391597,8.176391597,1.098612289,9.275003885,0,5,3,0,10668,0,0,3,1,1.781162739,0.600435257,0,0,0,0,0,1.641823411,0.530326496,-0.032379229,0.785967535,0,0,0,0,0
1533,0.286826542,0.963412286,0.2,0.002407086,0.381751309,0.00028885,3462,8.257475853,1.965278957,-1.190050364,4.449261477,0.945021439,0.963414758,0.945120093,0.960240101,0.961684451,0.963414758,-8.149601736,8.149601736,1.098612289,9.248214024,0,5,3,0,10386,0,0,3,1,1.747361183,-0.602101982,0,0,0,0,0,1.595728278,0.519112236,-0.027407287,0.761312027,0,0,0,0,0
1534,0.294470235,0.962217861,0.2,0.002551521,0.381157179,0.000294406,3396.666667,8.441802025,2.025601604,-1.187485099,4.536940654,0.942990917,0.962220329,0.943475621,0.960063839,0.960261459,0.962220329,-8.130549838,8.130549838,1.098612289,9.229162126,0,5,3,0,10190,0,0,3,1,1.669611454,-0.581606925,0,0,0,0,0,1.631158352,0.530781391,-0.022711819,0.778088689,0,0,0,0,0
1535,0.302322743,0.960957053,0.2,0.002602863,0.380530406,0.00030033,3329.666667,9.011958119,2.218668224,-1.181604342,4.803582265,0.942637611,0.960960509,0.938530972,0.959259701,0.959759399,0.960960509,-8.110627478,8.110627478,1.098612289,9.209239767,0,5,3,0,9989,0,0,3,1,1.799319744,0.598296762,0,0,0,0,0,1.676461101,0.54473053,-0.021441584,0.8002544,0,0,0,0,0
1536,0.29519017,0.962092794,0.2,0.002566634,0.381095338,0.00029615,3376.666667,8.865857092,2.166952043,-1.187230706,4.736842761,0.942847527,0.9620952,0.942545238,0.959430816,0.960713552,0.9620952,-8.124644309,8.124644309,1.098612289,9.223256597,0,5,3,0,10130,0,0,3,1,1.753314495,0.581928551,0,0,0,0,0,1.666408062,0.53946055,-0.024877895,0.79687254,0,0,0,0,0
1537,0.216586394,0.974463774,0.2,0.002480263,0.387246476,0.0001048,9542,6.431983606,1.35858989,-1.195231246,3.587458347,0.960525611,0.974463849,0.958289462,0.968664649,0.96992234,0.974463849,-9.163458386,9.163458386,1.098612289,10.26207067,0,5,3,0,28626,0,0,3,1,0.770042658,0.438606352,0,0,0,0,0,1.536808133,0.511457839,-0.002420207,0.725032811,0,0,0,0,0
1538,0.409961554,0.944247687,0.2,0.006397806,0.372190767,0.00034274,2917.666667,1.408982277,-0.326066399,-1.201419067,1.226881334,0.91009402,0.94425139,0.900486777,0.937398262,0.9354567,0.94425139,-7.978539489,7.978539489,1.098612289,9.077151778,0,5,3,0,8753,0,0,3,1,-0.579752207,0.034363098,0,0,0,0,0,1.222872496,0.411809022,-0.004264287,0.573573066,0,0,0,0,0
1539,0.404520244,0.945268208,0.2,0.006105539,0.372694852,0.000327082,3057.333333,1.412786764,-0.325930526,-1.203639697,1.229477691,0.911903817,0.945269512,0.904929524,0.938071523,0.936982437,0.945269512,-8.025298355,8.025298355,1.098612289,9.123910644,0,5,3,0,9172,0,0,3,1,-0.384979486,-0.110026255,0,0,0,0,0,1.215054393,0.407995117,-0.013579085,0.570867242,0,0,0,0,0
1540,0.408841589,0.944641896,0.2,0.006246634,0.372379429,0.000323102,3095,1.525142795,-0.291954214,-1.207827022,1.284895534,0.90845525,0.944643414,0.903499845,0.936781781,0.936135344,0.944643414,-8.037543185,8.037543185,1.098612289,9.136155474,0,5,3,0,9285,0,0,3,1,-0.437621832,0.081008181,0,0,0,0,0,1.240637064,0.419053162,-0.013241025,0.581212771,0,0,0,0,0
1541,0.415997068,0.943263231,0.2,0.006470996,0.371699311,0.000346661,2884.666667,1.444978714,-0.314947526,-1.205138564,1.244483798,0.906299758,0.943268034,0.900169352,0.936454932,0.933798631,0.943268034,-7.967164632,7.967164632,1.098612289,9.065776921,0,5,3,0,8654,0,0,3,1,-0.617938757,0.018738324,0,0,0,0,0,1.22838366,0.415703647,-0.003170776,0.574742676,0,0,0,0,0
1542,0.566938651,0.915469146,0.2,0.007607777,0.357907109,0.002535926,394.3333333,1.308041499,-0.339755123,-1.192790151,1.165411008,0.881782483,0.915531913,0.866488985,0.902847813,0.902876314,0.915531913,-5.977196575,5.977196575,1.098612289,7.075808864,0,5,3,0,1183,0,0,3,1,0.002090693,-0.384389043,0,0,0,0,0,1.276877046,0.411221979,-0.131578103,0.618661449,0,0,0,0,0
1543,0.583762598,0.911111111,0.2,0.007407407,0.355807685,0.002777778,360,0.802020073,-0.516550422,-1.20300591,0.932634024,0.871397282,0.911226191,0.872237899,0.897465711,0.898417448,0.911226191,-5.886104031,5.886104031,1.098612289,6.98471632,0,5,3,0,1080,0,0,3,1,-0.344025135,-0.148455158,0,0,0,0,0,1.142785668,0.361371882,-0.139471486,0.559812869,0,0,0,0,0
1544,0.561793031,0.916209867,0.2,0.007047768,0.358283793,0.002349256,425.6666667,1.679772377,-0.226350644,-1.231605466,1.348506055,0.87792979,0.916288663,0.870026045,0.907675697,0.903805598,0.916288663,-6.053656567,6.053656567,1.098612289,7.152268856,0,5,3,0,1277,0,0,3,1,-0.31276083,0.161485761,0,0,0,0,0,1.354429126,0.431284189,-0.124584012,0.657286906,0,0,0,0,0
1545,0.575043995,0.913738019,0.2,0.007188498,0.357053805,0.002396166,417.3333333,1.557289468,-0.275283888,-1.215301923,1.295969908,0.865872255,0.913868869,0.862640912,0.896208875,0.901010294,0.913868869,-6.033885263,6.033885263,1.098612289,7.132497552,0,5,3,0,1252,0,0,3,1,-0.435606718,-0.157748297,0,0,0,0,0,1.319530249,0.443845021,-0.122562625,0.628037913,0,0,0,0,0
1546,0.6013418,0.908273381,0.2,0.008093525,0.354370682,0.002697842,370.6666667,0.982961174,-0.454817336,-1.204410434,1.016971979,0.865994994,0.908314221,0.861498102,0.894824408,0.893030796,0.908314221,-5.915303186,5.915303186,1.098612289,7.013915475,0,5,3,0,1112,0,0,3,1,-0.011908293,0.466840297,0,0,0,0,0,1.193415523,0.398716055,-0.099115938,0.567895012,0,0,0,0,0
155,1.416953339,0.501116135,0.1,2.41E-06,0.182330477,1.21E-05,82920.1,1.315022637,0.246186195,-0.65023983,0.868479349,0.708822092,0.533268766,0.99623855,0.566193207,0.323869578,0.501116135,-11.32563277,11.32563277,2.302585093,13.62821787,5,10,10,0,829201,0,0,5,0.72,-0.237356917,-0.003567547,0,0,0,1,1,1.243067654,0.002590367,-1.235110007,0.834834278,4,4,4,0,20
1556,0.999799616,0.508333333,0.5,0.491666667,0.008333333,0.05,20,-1.532667853,-1.532667853,-1.532667853,0,1,0.824009324,1,1,0.824009324,0.573018648,-2.995732274,2.995732274,1.791759469,4.787491743,5,2,6,0,120,0,0,1,0.454545455,-1.423274008,-0.350928447,0,0,0,5,0.2,0.111097073,0.111097073,0.111097073,0,2,2,2,0,10
1557,1.583963615,0.346420876,0.333333333,0.316734498,0.012371126,0.00191525,522.125,76.70122497,11.12824687,-0.046857232,26.77114314,0.569288999,0.573845327,0.573106374,0.637792532,0.570265416,0.552299738,-6.257907023,6.257907023,2.079441542,8.337348564,1,3,8,0,4177,0,0,7,0.4,-0.438298552,-0.0431529,0,0,0,0.142857143,7,3.165983879,0.625616004,-0.639643443,1.170924024,3,3,3,0,3
1561,0.993650712,0.546875,0.5,0.453125,0.046875,58.140625,0.017199678,0,0,0,0,0.657142857,0.85952381,0.808571429,0.842857143,0.876190476,0.536190476,4.062864645,-4.062864645,8.221747728,4.158883083,3721,2,3721,0,64,0,0,0,0.006987369,1.898510324,1.384546633,0,0,0,0,0,0,0,0,0,2,2,2,0,7442
1562,0.993650712,0.546875,0.5,0.453125,0.046875,73.46875,0.013611229,0,0,0,0,0.622857143,0.702857143,0.787142857,0.857142857,0.892857143,0.545714286,4.296860146,-4.296860146,8.455743229,4.158883083,4702,2,4702,0,64,0,0,0,0.005529562,3.214062222,-1.718609827,0,0,0,0,0,0,0,0,0,2,2,2,0,9404
1563,0.993650712,0.546875,0.5,0.453125,0.046875,3.578125,0.279475983,0,0,0,0,0.838571429,0.712380952,0.749047619,0.892857143,0.861904762,0.545714286,1.27483892,-1.27483892,5.433722004,4.158883083,229,2,229,0,64,0,0,0,0.109170306,-0.355446637,-0.761502438,0,0,0,0,0,0,0,0,0,2,2,2,0,458
1564,0.993650712,0.546875,0.5,0.453125,0.046875,3.78125,0.26446281,0,0,0,0,0.805238095,0.66952381,0.844285714,0.892857143,0.880952381,0.545714286,1.330054643,-1.330054643,5.488937726,4.158883083,242,2,242,0,64,0,0,0,0.105371901,0.047189965,-1.137321774,0,0,0,0,0,0,0,0,0,2,2,2,0,484
1565,1.640375719,0.639455782,0.2,0.051020408,0.221014116,0.044217687,22.61538462,109.294281,26.84917114,-1.614442652,41.13280487,0.627382949,0.618881358,0.592283551,0.674447025,0.15950142,0.641620869,-3.11863041,3.11863041,2.564949357,5.683579767,0,5,13,0,294,0,0,13,0.846153846,-0.745421648,-0.525624752,0,0,0,0,0,10.0384016,-0.621787478,-7.286497593,4.295985294,0,0,0,0,0
1567,1.416985463,0.501167307,0.1,7.80E-06,0.1823283,9.76E-06,102500.9,-1.21394303,-1.287482781,-1.362077507,0.072850101,0.505950656,0.501167307,0.64566263,0.501167307,0.501167307,0.501167307,-11.53762686,11.53762686,2.302585093,13.84021195,0,10,10,0,1025009,0,0,10,1,-0.262187243,-0.000886612,0,0,0,0,0,0.003977951,-0.000236739,-0.002335814,0.001674295,0,0,0,0,0
1568,1.714583897,0.333384782,0.25,0.025312548,0.129968701,0.000617379,1619.75,0,0,0,0,0.793876942,0.66260248,0.997916665,0.542602633,0.841102419,0.330448721,-7.390027095,7.390027095,2.079441542,9.469468637,8,4,8,0,12958,0,0,0,0.666666667,-1.999996711,0.000308684,0,0,0,0,0,0,0,0,0,5,3.375,2,0.856956825,27
1569,1.416853005,0.501171707,0.111111111,1.66E-05,0.188953771,9.76E-06,102500,-1.213937828,-1.287479154,-1.362075719,0.072852184,0.505457574,0.501171708,0.647954073,0.501171708,0.501171708,0.501171708,-11.53761808,11.53761808,2.302585093,13.84020317,0,9,10,0,1025000,0,0,10,1,-0.262081623,-0.000887713,0,0,0,0,0,0.003984122,-0.000230362,-0.002331102,0.001674478,0,0,0,0,0
16,3.321928095,0.1,0.1,0.1,0,0.032,31.25,0.576493213,-0.048539335,-0.945347773,0.251701774,0.956,0.1955,0.825,0.9545,0.937,0.1385,-3.442019376,3.442019376,4.158883083,7.60090246,0,10,64,0,2000,0,0,64,0.78125,-0.159641981,0.308281064,0,0,0,0,0,0.418407917,-0.004282458,-0.338858694,0.163290955,0,0,0,0,0
1600,0.733752409,0.794007491,0.5,0.205992509,0.294007491,0.164794007,6.068181818,16.56980896,5.101000817,0.803183794,3.712985293,0.696001221,0.794322344,0.749277574,0.749704925,0.677604803,0.794322344,-1.803059024,1.803059024,3.784189634,5.587248658,0,2,44,0,267,0,0,44,0.568181818,3.309100628,-1.885564208,0,0,0,0,0,-0.877142429,-1.753782465,-3.103404045,0.570324501,0,0,0,0,0
161,0.961940261,0.614342,0.5,0.385658,0.114342,3.00E-06,333333.3333,-1.19516282,-1.197394919,-1.199963284,0.001974153,0.882221,0.684362,0.885335003,0.841804,0.840324,0.683157001,-12.71689827,12.71689827,1.098612289,13.81551056,0,2,3,0,1000000,0,0,3,1,-0.416741133,-0.005699995,0,0,0,0,0,0.000102815,-0.000667838,-0.001062987,0.000544993,0,0,0,0,0
